Track Name,Track ID,Duration (ms),Track Popularity,Track Number,URI,Album Name,Album ID,Artist Name,Track GQ,Artist ID,Artist Popularity,Followers,Genres,Artist GQ
SkyWorld,4AVlX4I4V8urJFsPVpfeyl,72578,33,2,spotify:track:4AVlX4I4V8urJFsPVpfeyl,24 : How to find true love and happiness,5PBv1FrNgnUw7mb3k4OmMo,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Surf boy,0Zb2yKlkvsLEZvk9k4ZSM3,251812,31,12,spotify:track:0Zb2yKlkvsLEZvk9k4ZSM3,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Goodbye Seoul,0DLIs8o6uLtTOgXX39nWjc,198407,31,6,spotify:track:0DLIs8o6uLtTOgXX39nWjc,24 : How to find true love and happiness,5PBv1FrNgnUw7mb3k4OmMo,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
Reserved seat,5TcjOThndBtBlzXHi6fcsR,313780,31,9,spotify:track:5TcjOThndBtBlzXHi6fcsR,23,2VDNZYzubQxFNOR3qD1K9B,HYUKOH,korean indie folk,57okaLdCtv3nVBSn5otJkp,55,571209,korean r&b,k-indie
좋지 아니한가 Isn't That Good?,7L13P7XjzgJyENZZjITPcV,264640,27,2,spotify:track:7L13P7XjzgJyENZZjITPcV,Crying Nut 3 Singles,22GNw0B9gLX7wLKt1hgiSe,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
명동콜링 Myeong-dong Calling,0AcSCfVYcXgNgcrZdyZXOh,228120,25,4,spotify:track:0AcSCfVYcXgNgcrZdyZXOh,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
말달리자 Speed Up Losers,42OTaKIDWseqiU8qflqjap,186000,19,3,spotify:track:42OTaKIDWseqiU8qflqjap,말달리자 Speed Up Losers,2qGZXupHBC6oJQawNh13Pc,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
룩셈부르크 Luxembourg,0JvKtUqGrzI0XZQzrMdxe2,145146,19,2,spotify:track:0JvKtUqGrzI0XZQzrMdxe2,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
비둘기,5I32QWIUiTn0t2oWaptmX7,122624,18,6,spotify:track:5I32QWIUiTn0t2oWaptmX7,불편한 파티,14on3xMBI3LbIoG83XQPId,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Cleaning,0hUZzSfrGN8rKlj7JKBbH4,185333,19,1,spotify:track:0hUZzSfrGN8rKlj7JKBbH4,"Clean With Passion For Now, Pt. 6 (Original Television Soundtrack)",7pYjGvs3hDtXZqcTWWw1Ee,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
서커스 매직 유랑단 Circus Magic Clowns,4kFHd8N3mzYUNS0WFG4HmO,243200,19,1,spotify:track:4kFHd8N3mzYUNS0WFG4HmO,서커스 매직 유랑단 Circus Magic Clowns,3IcCMyt1uE97C130L1vPc3,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Oh! What a Shiny Night - 25th Anniversary Version,2NSup5koLElBtVKsoWnZf2,255786,10,10,spotify:track:2NSup5koLElBtVKsoWnZf2,CRYING NUT 25th Anniversary Best Album,3LCvmUeoynudUbGfTCPkko,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
