Track Name,Track ID,Duration (ms),Popularity,Track Number,URI,Album Name,Album ID,Artists,Genre Queried,Track Image
Let Me Lost,0Yvz8ijrcXib12WeQISO3K,120812,10,6,spotify:track:0Yvz8ijrcXib12WeQISO3K,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
I Don't Wanna Die,2J0DxPp3dz5KBJm9UWyZWo,167750,12,1,spotify:track:2J0DxPp3dz5KBJm9UWyZWo,I Don't Wanna Die,2QCBVMtCPheeUp6hUXVAmz,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273b8bcc5a5f1c9115edd386701
The Trap,2qv7UkTu9q7O1DVamJl29l,86827,10,2,spotify:track:2qv7UkTu9q7O1DVamJl29l,Vain Attempt,0YGpPCVfsXBacLA4tCKHSh,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273253e89fa19e1ead03162b1cf
Punk rocker - 2023 ver.,6UfknKvtd3G2EduKVICm8R,163653,13,5,spotify:track:6UfknKvtd3G2EduKVICm8R,Born Rude,0vAIuVpzmDGDVCmgdXfvwg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273e83b4e6ff194d891c9ea511a
Odoby,68AifbcSBuojvYc9dzi65u,73000,9,2,spotify:track:68AifbcSBuojvYc9dzi65u,Marriage License,5NZiSXuHXNIFtpECXLSC2u,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273f06c0f29bb561e21b36a0ef0
History,4iYK0vbuMus9yPNQOgV3W7,121826,9,1,spotify:track:4iYK0vbuMus9yPNQOgV3W7,History,43Cr1jD8oN1Vj9w1tsOQOn,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273cea8858f566245f276bada8b
권태,1gYqtS32nW13H5G0QVJ90t,101403,12,4,spotify:track:1gYqtS32nW13H5G0QVJ90t,Born Rude,0vAIuVpzmDGDVCmgdXfvwg,RUMKICKS,korean punk,https://i.scdn.co/image/ab67616d0000b273e83b4e6ff194d891c9ea511a
Oh! What a Shiny Night - 25th Anniversary Version,2NSup5koLElBtVKsoWnZf2,255786,10,10,spotify:track:2NSup5koLElBtVKsoWnZf2,CRYING NUT 25th Anniversary Best Album,3LCvmUeoynudUbGfTCPkko,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b2733b4526622f5e18ed92a09ebc
Just Fucking Me,260RDC6yxWTeVWNFSdfVZF,190502,7,9,spotify:track:260RDC6yxWTeVWNFSdfVZF,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Attention,73UHrpLSWivkR53lQCqume,97826,8,5,spotify:track:73UHrpLSWivkR53lQCqume,Marriage License,5NZiSXuHXNIFtpECXLSC2u,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273f06c0f29bb561e21b36a0ef0
Stay Here,5Zn0BpLFjLQtZLMdIwF1DS,170221,8,3,spotify:track:5Zn0BpLFjLQtZLMdIwF1DS,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Song of Sincerity,4xbgFZXO36nwElozV4xIwu,186779,7,7,spotify:track:4xbgFZXO36nwElozV4xIwu,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
